City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
347,Fuyu,CN,2021-04-10 00:50:04,45.1833,124.8167,287.56,15,0,8.53
348,Sitka,US,2021-04-10 00:50:05,57.0531,-135.33,276.15,75,40,3.6
349,Burla,IN,2021-04-10 00:50:07,21.5,83.8667,297.15,69,40,0.73
350,Sao Joao Da Barra,BR,2021-04-10 00:50:08,-21.6403,-41.0511,296.42,73,0,2.57
351,Ustynivka,UA,2021-04-10 00:50:10,47.9551,32.5367,273.15,69,0,1.0
352,Taga,RO,2021-04-10 00:50:11,46.95,24.05,271.15,80,0,1.54
353,Novorzhev,RU,2021-04-10 00:50:13,57.0294,29.3338,277.75,66,95,6.18
354,Richards Bay,ZA,2021-04-10 00:50:14,-28.783,32.0377,292.25,93,3,1.73
355,Rengasdengklok,ID,2021-04-10 00:50:16,-6.1592,107.2981,300.93,88,40,2.06
356,Cururupu,BR,2021-04-10 00:50:17,-1.8283,-44.8683,297.83,90,55,1.73
357,Denpasar,ID,2021-04-10 00:49:31,-8.65,115.2167,301.15,83,20,0.51
358,Sobolevo,RU,2021-04-10 00:50:20,54.4299,31.8996,274.55,80,72,4.6
359,Montespertoli,IT,2021-04-10 00:50:21,43.6442,11.0737,280.93,72,100,0.89
360,Bahir Dar,ET,2021-04-10 00:50:22,11.5936,37.3908,294.74,25,71,1.37
361,Pacific Grove,US,2021-04-10 00:49:41,36.6177,-121.9166,285.37,79,0,0.89
362,Ferkessedougou,CI,2021-04-10 00:50:25,9.6,-5.2,301.53,54,58,4.4
363,Nizhneangarsk,RU,2021-04-10 00:50:26,55.7833,109.55,265.76,66,3,2.22
364,Pallasovka,RU,2021-04-10 00:50:30,50.05,46.8833,278.25,91,100,6.8
365,Nabire,ID,2021-04-10 00:50:32,-3.3667,135.4833,301.81,73,100,0.5
366,Poum,NC,2021-04-10 00:50:33,-20.2333,164.0167,299.65,86,100,15.98
367,Hit,IQ,2021-04-10 00:50:35,33.6416,42.8251,294.02,32,30,6.76
368,Pascagoula,US,2021-04-10 00:50:36,30.3658,-88.5561,295.15,83,90,2.06
369,Carbonear,CA,2021-04-10 00:50:38,47.7332,-53.2148,277.04,100,100,3.13
370,Paysandu,UY,2021-04-10 00:50:41,-32.3214,-58.0756,291.48,95,89,1.79
371,Leningradskiy,RU,2021-04-10 00:50:42,69.3833,178.4167,251.22,91,57,2.64
372,Santa Isabel,BR,2021-04-10 00:50:44,-23.3156,-46.2214,294.82,88,0,0.51
373,Sabang,ID,2021-04-10 00:50:08,5.8933,95.3214,301.59,71,73,2.47
374,Mildura,AU,2021-04-10 00:50:47,-34.2,142.15,290.37,67,90,5.14
375,Edd,ER,2021-04-10 00:50:48,13.9297,41.6925,303.06,29,64,7.87
376,Cidreira,BR,2021-04-10 00:50:49,-30.1811,-50.2056,296.71,80,100,4.28
377,Poronaysk,RU,2021-04-10 00:50:52,49.2167,143.1167,274.35,64,7,1.68
378,Korla,CN,2021-04-10 00:50:53,41.7597,86.1469,284.64,56,56,3.57
379,Dukhovshchina,RU,2021-04-10 00:50:55,55.1919,32.4111,274.86,79,92,4.42
380,Benguela,AO,2021-04-10 00:50:56,-12.5763,13.4055,300.09,85,99,1.49
381,Nicoya,CR,2021-04-10 00:50:58,10.1483,-85.452,296.15,94,75,3.09
382,Boguchany,RU,2021-04-10 00:50:59,58.3814,97.4531,269.63,73,13,3.04
383,Herat,AF,2021-04-10 00:51:01,34.5,62.0,290.48,17,97,3.14
384,Doha,QA,2021-04-10 00:51:02,25.2867,51.5333,296.15,83,0,2.57
385,Bundaberg,AU,2021-04-10 00:51:04,-24.85,152.35,301.15,51,0,2.57
386,Becerril,CO,2021-04-10 00:51:06,9.7041,-73.2793,297.01,92,100,0.59
